x y z Ax Ay Az
-0.981164 -0.190975 0.0 0.0 0.0 0.033391
-0.978740 -0.198434 0.0 0.0 0.0 0.038962
-0.976317 -0.205893 0.0 0.0 0.0 0.044799
-0.973893 -0.213352 0.0 0.0 0.0 0.050892
-0.971469 -0.220812 0.0 0.0 0.0 0.057233
-0.969046 -0.228271 0.0 0.0 0.0 0.063812
-0.966622 -0.235730 0.0 0.0 0.0 0.070620
-0.964198 -0.243190 0.0 0.0 0.0 0.077648
-0.961775 -0.250649 0.0 0.0 0.0 0.084884
-0.959351 -0.258108 0.0 0.0 0.0 0.092318
-0.956927 -0.265567 0.0 0.0 0.0 0.099941
-0.954504 -0.273027 0.0 0.0 0.0 0.107740
-0.952080 -0.280486 0.0 0.0 0.0 0.115705
-0.949656 -0.287945 0.0 0.0 0.0 0.123824
-0.947233 -0.295404 0.0 0.0 0.0 0.132086
-0.944809 -0.302864 0.0 0.0 0.0 0.140478
-0.942385 -0.310323 0.0 0.0 0.0 0.148989
-0.939962 -0.317782 0.0 0.0 0.0 0.157607
-0.937538 -0.325241 0.0 0.0 0.0 0.166319
-0.935114 -0.332701 0.0 0.0 0.0 0.175113
-0.932691 -0.340160 0.0 0.0 0.0 0.183975
-0.930267 -0.347619 0.0 0.0 0.0 0.192894
-0.927843 -0.355079 0.0 0.0 0.0 0.201856
-0.925420 -0.362538 0.0 0.0 0.0 0.210849
-0.922996 -0.369997 0.0 0.0 0.0 0.219858
-0.920572 -0.377456 0.0 0.0 0.0 0.228872
-0.918149 -0.384916 0.0 0.0 0.0 0.237877
-0.915725 -0.392375 0.0 0.0 0.0 0.246859
-0.913301 -0.399834 0.0 0.0 0.0 0.255806
-0.910878 -0.407293 0.0 0.0 0.0 0.264704
-0.908454 -0.414753 0.0 0.0 0.0 0.273540
-0.906030 -0.422212 0.0 0.0 0.0 0.282300
-0.988247 -0.143795 0.0 0.0 0.0 0.016115
-0.985823 -0.151255 0.0 0.0 0.0 0.020369
-0.983399 -0.158714 0.0 0.0 0.0 0.024928
-0.980976 -0.166173 0.0 0.0 0.0 0.029785
-0.978552 -0.173633 0.0 0.0 0.0 0.034933
-0.976128 -0.181092 0.0 0.0 0.0 0.040363
-0.973705 -0.188551 0.0 0.0 0.0 0.046069
-0.971281 -0.196010 0.0 0.0 0.0 0.052042
-0.968857 -0.203470 0.0 0.0 0.0 0.058274
-0.966434 -0.210929 0.0 0.0 0.0 0.064755
-0.964010 -0.218388 0.0 0.0 0.0 0.071476
-0.961586 -0.225847 0.0 0.0 0.0 0.078429
-0.959163 -0.233307 0.0 0.0 0.0 0.085602
-0.956739 -0.240766 0.0 0.0 0.0 0.092987
-0.954315 -0.248225 0.0 0.0 0.0 0.100572
-0.951892 -0.255684 0.0 0.0 0.0 0.108347
-0.949468 -0.263144 0.0 0.0 0.0 0.116302
-0.947044 -0.270603 0.0 0.0 0.0 0.124424
-0.944621 -0.278062 0.0 0.0 0.0 0.132704
-0.942197 -0.285522 0.0 0.0 0.0 0.141128
-0.939773 -0.292981 0.0 0.0 0.0 0.149686
-0.937350 -0.300440 0.0 0.0 0.0 0.158364
-0.934926 -0.307899 0.0 0.0 0.0 0.167153
-0.932502 -0.315359 0.0 0.0 0.0 0.176038
-0.930079 -0.322818 0.0 0.0 0.0 0.185007
-0.927655 -0.330277 0.0 0.0 0.0 0.194048
-0.925232 -0.337736 0.0 0.0 0.0 0.203147
-0.922808 -0.345196 0.0 0.0 0.0 0.212293
-0.920384 -0.352655 0.0 0.0 0.0 0.221472
-0.917961 -0.360114 0.0 0.0 0.0 0.230671
-0.915537 -0.367573 0.0 0.0 0.0 0.239876
-0.913113 -0.375033 0.0 0.0 0.0 0.249075
-0.910690 -0.382492 0.0 0.0 0.0 0.258255
-0.908266 -0.389951 0.0 0.0 0.0 0.267401
-0.905842 -0.397411 0.0 0.0 0.0 0.276501
-0.903419 -0.404870 0.0 0.0 0.0 0.285541
-0.900995 -0.412329 0.0 0.0 0.0 0.294508
-0.898571 -0.419788 0.0 0.0 0.0 0.303389
-0.896148 -0.427248 0.0 0.0 0.0 0.312170
-0.893724 -0.434707 0.0 0.0 0.0 0.320838
-0.891300 -0.442166 0.0 0.0 0.0 0.329379
-0.888877 -0.449625 0.0 0.0 0.0 0.337782
-0.886453 -0.457085 0.0 0.0 0.0 0.346032
-0.884029 -0.464544 0.0 0.0 0.0 0.354118
-0.992906 -0.104075 0.0 0.0 0.0 0.007157
-0.990482 -0.111535 0.0 0.0 0.0 0.010263
-0.988058 -0.118994 0.0 0.0 0.0 0.013697
-0.985635 -0.126453 0.0 0.0 0.0 0.017455
-0.983211 -0.133913 0.0 0.0 0.0 0.021530
-0.980787 -0.141372 0.0 0.0 0.0 0.025919
-0.978364 -0.148831 0.0 0.0 0.0 0.030612
-0.975940 -0.156290 0.0 0.0 0.0 0.035606
-0.973516 -0.163750 0.0 0.0 0.0 0.040891
-0.971093 -0.171209 0.0 0.0 0.0 0.046461
-0.968669 -0.178668 0.0 0.0 0.0 0.052308
-0.966245 -0.186127 0.0 0.0 0.0 0.058424
-0.963822 -0.193587 0.0 0.0 0.0 0.064800
-0.961398 -0.201046 0.0 0.0 0.0 0.071428
-0.958974 -0.208505 0.0 0.0 0.0 0.078298
-0.956551 -0.215964 0.0 0.0 0.0 0.085402
-0.954127 -0.223424 0.0 0.0 0.0 0.092729
-0.951704 -0.230883 0.0 0.0 0.0 0.100269
-0.949280 -0.238342 0.0 0.0 0.0 0.108012
-0.946856 -0.245802 0.0 0.0 0.0 0.115948
-0.944433 -0.253261 0.0 0.0 0.0 0.124066
-0.942009 -0.260720 0.0 0.0 0.0 0.132354
-0.939585 -0.268179 0.0 0.0 0.0 0.140801
-0.937162 -0.275639 0.0 0.0 0.0 0.149396
-0.934738 -0.283098 0.0 0.0 0.0 0.158127
-0.932314 -0.290557 0.0 0.0 0.0 0.166982
-0.929891 -0.298016 0.0 0.0 0.0 0.175949
-0.927467 -0.305476 0.0 0.0 0.0 0.185016
-0.925043 -0.312935 0.0 0.0 0.0 0.194170
-0.922620 -0.320394 0.0 0.0 0.0 0.203398
-0.920196 -0.327853 0.0 0.0 0.0 0.212688
-0.917772 -0.335313 0.0 0.0 0.0 0.222027
-0.915349 -0.342772 0.0 0.0 0.0 0.231402
-0.912925 -0.350231 0.0 0.0 0.0 0.240799
-0.910501 -0.357691 0.0 0.0 0.0 0.250206
-0.908078 -0.365150 0.0 0.0 0.0 0.259610
-0.905654 -0.372609 0.0 0.0 0.0 0.268996
-0.903230 -0.380068 0.0 0.0 0.0 0.278352
-0.900807 -0.387528 0.0 0.0 0.0 0.287664
-0.898383 -0.394987 0.0 0.0 0.0 0.296919
-0.895959 -0.402446 0.0 0.0 0.0 0.306104
-0.893536 -0.409905 0.0 0.0 0.0 0.315205
-0.891112 -0.417365 0.0 0.0 0.0 0.324209
-0.888688 -0.424824 0.0 0.0 0.0 0.333102
-0.886265 -0.432283 0.0 0.0 0.0 0.341871
-0.883841 -0.439742 0.0 0.0 0.0 0.350503
-0.881417 -0.447202 0.0 0.0 0.0 0.358985
-0.878994 -0.454661 0.0 0.0 0.0 0.367305
-0.876570 -0.462120 0.0 0.0 0.0 0.375448
-0.874146 -0.469580 0.0 0.0 0.0 0.383402
-0.871723 -0.477039 0.0 0.0 0.0 0.391155
-0.869299 -0.484498 0.0 0.0 0.0 0.398695
-0.866875 -0.491957 0.0 0.0 0.0 0.406008
-0.864452 -0.499417 0.0 0.0 0.0 0.413083
-0.997565 -0.064355 0.0 0.0 0.0 0.001536
-0.995141 -0.071815 0.0 0.0 0.0 0.003415
-0.992717 -0.079274 0.0 0.0 0.0 0.005639
-0.990294 -0.086733 0.0 0.0 0.0 0.008205
-0.987870 -0.094193 0.0 0.0 0.0 0.011110
-0.985447 -0.101652 0.0 0.0 0.0 0.014349
-0.983023 -0.109111 0.0 0.0 0.0 0.017918
-0.980599 -0.116570 0.0 0.0 0.0 0.021812
-0.978176 -0.124030 0.0 0.0 0.0 0.026025
-0.975752 -0.131489 0.0 0.0 0.0 0.030551
-0.973328 -0.138948 0.0 0.0 0.0 0.035385
-0.970905 -0.146407 0.0 0.0 0.0 0.040519
-0.968481 -0.153867 0.0 0.0 0.0 0.045947
-0.966057 -0.161326 0.0 0.0 0.0 0.051662
-0.963634 -0.168785 0.0 0.0 0.0 0.057656
-0.961210 -0.176244 0.0 0.0 0.0 0.063920
-0.958786 -0.183704 0.0 0.0 0.0 0.070447
-0.956363 -0.191163 0.0 0.0 0.0 0.077228
-0.953939 -0.198622 0.0 0.0 0.0 0.084253
-0.951515 -0.206082 0.0 0.0 0.0 0.091514
-0.949092 -0.213541 0.0 0.0 0.0 0.099001
-0.946668 -0.221000 0.0 0.0 0.0 0.106703
-0.944244 -0.228459 0.0 0.0 0.0 0.114611
-0.941821 -0.235919 0.0 0.0 0.0 0.122714
-0.939397 -0.243378 0.0 0.0 0.0 0.131002
-0.936973 -0.250837 0.0 0.0 0.0 0.139462
-0.934550 -0.258296 0.0 0.0 0.0 0.148085
-0.932126 -0.265756 0.0 0.0 0.0 0.156859
-0.929702 -0.273215 0.0 0.0 0.0 0.165771
-0.927279 -0.280674 0.0 0.0 0.0 0.174810
-0.924855 -0.288133 0.0 0.0 0.0 0.183964
-0.922431 -0.295593 0.0 0.0 0.0 0.193221
-0.920008 -0.303052 0.0 0.0 0.0 0.202568
-0.917584 -0.310511 0.0 0.0 0.0 0.211992
