x y z Ax Ay Az
-0.974014 0.224611 0.0 0.0 0.0 -0.052884
-0.974834 0.216811 0.0 0.0 0.0 -0.049731
-0.975654 0.209011 0.0 0.0 0.0 -0.046645
-0.976474 0.201211 0.0 0.0 0.0 -0.043630
-0.977294 0.193411 0.0 0.0 0.0 -0.040691
-0.978113 0.185610 0.0 0.0 0.0 -0.037830
-0.978933 0.177810 0.0 0.0 0.0 -0.035052
-0.979753 0.170010 0.0 0.0 0.0 -0.032359
-0.980573 0.162210 0.0 0.0 0.0 -0.029754
-0.981393 0.154410 0.0 0.0 0.0 -0.027242
-0.982213 0.146610 0.0 0.0 0.0 -0.024825
-0.983032 0.138809 0.0 0.0 0.0 -0.022505
-0.983852 0.131009 0.0 0.0 0.0 -0.020286
-0.984672 0.123209 0.0 0.0 0.0 -0.018170
-0.985492 0.115409 0.0 0.0 0.0 -0.016160
-0.986312 0.107609 0.0 0.0 0.0 -0.014258
-0.987132 0.099809 0.0 0.0 0.0 -0.012466
-0.987951 0.092008 0.0 0.0 0.0 -0.010787
-0.988771 0.084208 0.0 0.0 0.0 -0.009222
-0.989591 0.076408 0.0 0.0 0.0 -0.007773
-0.990411 0.068608 0.0 0.0 0.0 -0.006442
-0.991231 0.060808 0.0 0.0 0.0 -0.005230
-0.992051 0.053008 0.0 0.0 0.0 -0.004139
-0.992870 0.045207 0.0 0.0 0.0 -0.003170
-0.993690 0.037407 0.0 0.0 0.0 -0.002324
-0.994510 0.029607 0.0 0.0 0.0 -0.001602
-0.995330 0.021807 0.0 0.0 0.0 -0.001004
-0.996150 0.014007 0.0 0.0 0.0 -0.000532
-0.996970 0.006206 0.0 0.0 0.0 -0.000186
-0.997789 -0.001594 0.0 0.0 0.0 0.000035
-0.998609 -0.009394 0.0 0.0 0.0 0.000129
-0.999429 -0.017194 0.0 0.0 0.0 0.000097
-0.961295 0.270592 0.0 0.0 0.0 -0.091134
-0.962115 0.262792 0.0 0.0 0.0 -0.087266
-0.962935 0.254992 0.0 0.0 0.0 -0.083430
-0.963755 0.247192 0.0 0.0 0.0 -0.079631
-0.964575 0.239392 0.0 0.0 0.0 -0.075873
-0.965394 0.231592 0.0 0.0 0.0 -0.072160
-0.966214 0.223791 0.0 0.0 0.0 -0.068498
-0.967034 0.215991 0.0 0.0 0.0 -0.064889
-0.967854 0.208191 0.0 0.0 0.0 -0.061339
-0.968674 0.200391 0.0 0.0 0.0 -0.057851
-0.969493 0.192591 0.0 0.0 0.0 -0.054429
-0.970313 0.184791 0.0 0.0 0.0 -0.051078
-0.971133 0.176990 0.0 0.0 0.0 -0.047801
-0.971953 0.169190 0.0 0.0 0.0 -0.044602
-0.972773 0.161390 0.0 0.0 0.0 -0.041484
-0.973593 0.153590 0.0 0.0 0.0 -0.038451
-0.974412 0.145790 0.0 0.0 0.0 -0.035505
-0.975232 0.137990 0.0 0.0 0.0 -0.032652
-0.976052 0.130189 0.0 0.0 0.0 -0.029892
-0.976872 0.122389 0.0 0.0 0.0 -0.027230
-0.977692 0.114589 0.0 0.0 0.0 -0.024668
-0.978512 0.106789 0.0 0.0 0.0 -0.022209
-0.979331 0.098989 0.0 0.0 0.0 -0.019855
-0.980151 0.091189 0.0 0.0 0.0 -0.017609
-0.980971 0.083388 0.0 0.0 0.0 -0.015473
-0.981791 0.075588 0.0 0.0 0.0 -0.013450
-0.982611 0.067788 0.0 0.0 0.0 -0.011541
-0.983431 0.059988 0.0 0.0 0.0 -0.009748
-0.984250 0.052188 0.0 0.0 0.0 -0.008073
-0.985070 0.044388 0.0 0.0 0.0 -0.006517
-0.985890 0.036587 0.0 0.0 0.0 -0.005082
-0.986710 0.028787 0.0 0.0 0.0 -0.003770
-0.987530 0.020987 0.0 0.0 0.0 -0.002580
-0.988350 0.013187 0.0 0.0 0.0 -0.001516
-0.989169 0.005387 0.0 0.0 0.0 -0.000576
-0.989989 -0.002414 0.0 0.0 0.0 0.000238
-0.990809 -0.010214 0.0 0.0 0.0 0.000926
-0.991629 -0.018014 0.0 0.0 0.0 0.001487
-0.992449 -0.025814 0.0 0.0 0.0 0.001922
-0.993269 -0.033614 0.0 0.0 0.0 0.002229
-0.994088 -0.041414 0.0 0.0 0.0 0.002409
-0.994908 -0.049215 0.0 0.0 0.0 0.002463
-0.995728 -0.057015 0.0 0.0 0.0 0.002391
-0.996548 -0.064815 0.0 0.0 0.0 0.002193
-0.949396 0.308774 0.0 0.0 0.0 -0.130590
-0.950216 0.300973 0.0 0.0 0.0 -0.126296
-0.951036 0.293173 0.0 0.0 0.0 -0.121998
-0.951855 0.285373 0.0 0.0 0.0 -0.117702
-0.952675 0.277573 0.0 0.0 0.0 -0.113411
-0.953495 0.269773 0.0 0.0 0.0 -0.109133
-0.954315 0.261972 0.0 0.0 0.0 -0.104871
-0.955135 0.254172 0.0 0.0 0.0 -0.100630
-0.955955 0.246372 0.0 0.0 0.0 -0.096415
-0.956774 0.238572 0.0 0.0 0.0 -0.092231
-0.957594 0.230772 0.0 0.0 0.0 -0.088082
-0.958414 0.222972 0.0 0.0 0.0 -0.083974
-0.959234 0.215171 0.0 0.0 0.0 -0.079910
-0.960054 0.207371 0.0 0.0 0.0 -0.075896
-0.960873 0.199571 0.0 0.0 0.0 -0.071935
-0.961693 0.191771 0.0 0.0 0.0 -0.068032
-0.962513 0.183971 0.0 0.0 0.0 -0.064190
-0.963333 0.176171 0.0 0.0 0.0 -0.060415
-0.964153 0.168370 0.0 0.0 0.0 -0.056710
-0.964973 0.160570 0.0 0.0 0.0 -0.053078
-0.965792 0.152770 0.0 0.0 0.0 -0.049525
-0.966612 0.144970 0.0 0.0 0.0 -0.046052
-0.967432 0.137170 0.0 0.0 0.0 -0.042664
-0.968252 0.129370 0.0 0.0 0.0 -0.039365
-0.969072 0.121569 0.0 0.0 0.0 -0.036156
-0.969892 0.113769 0.0 0.0 0.0 -0.033043
-0.970711 0.105969 0.0 0.0 0.0 -0.030027
-0.971531 0.098169 0.0 0.0 0.0 -0.027112
-0.972351 0.090369 0.0 0.0 0.0 -0.024300
-0.973171 0.082569 0.0 0.0 0.0 -0.021594
-0.973991 0.074768 0.0 0.0 0.0 -0.018996
-0.974811 0.066968 0.0 0.0 0.0 -0.016509
-0.975630 0.059168 0.0 0.0 0.0 -0.014135
-0.976450 0.051368 0.0 0.0 0.0 -0.011877
-0.977270 0.043568 0.0 0.0 0.0 -0.009735
-0.978090 0.035768 0.0 0.0 0.0 -0.007712
-0.978910 0.027967 0.0 0.0 0.0 -0.005810
-0.979730 0.020167 0.0 0.0 0.0 -0.004029
-0.980549 0.012367 0.0 0.0 0.0 -0.002372
-0.981369 0.004567 0.0 0.0 0.0 -0.000839
-0.982189 -0.003233 0.0 0.0 0.0 0.000568
-0.983009 -0.011034 0.0 0.0 0.0 0.001849
-0.983829 -0.018834 0.0 0.0 0.0 0.003003
-0.984649 -0.026634 0.0 0.0 0.0 0.004029
-0.985468 -0.034434 0.0 0.0 0.0 0.004927
-0.986288 -0.042234 0.0 0.0 0.0 0.005697
-0.987108 -0.050034 0.0 0.0 0.0 0.006338
-0.987928 -0.057835 0.0 0.0 0.0 0.006851
-0.988748 -0.065635 0.0 0.0 0.0 0.007236
-0.989568 -0.073435 0.0 0.0 0.0 0.007493
-0.990387 -0.081235 0.0 0.0 0.0 0.007622
-0.991207 -0.089035 0.0 0.0 0.0 0.007625
-0.992027 -0.096835 0.0 0.0 0.0 0.007502
-0.992847 -0.104636 0.0 0.0 0.0 0.007254
-0.937497 0.346955 0.0 0.0 0.0 -0.172981
-0.938316 0.339154 0.0 0.0 0.0 -0.168507
-0.939136 0.331354 0.0 0.0 0.0 -0.163991
-0.939956 0.323554 0.0 0.0 0.0 -0.159438
-0.940776 0.315754 0.0 0.0 0.0 -0.154853
-0.941596 0.307954 0.0 0.0 0.0 -0.150242
-0.942416 0.300154 0.0 0.0 0.0 -0.145611
-0.943235 0.292353 0.0 0.0 0.0 -0.140964
-0.944055 0.284553 0.0 0.0 0.0 -0.136307
-0.944875 0.276753 0.0 0.0 0.0 -0.131644
-0.945695 0.268953 0.0 0.0 0.0 -0.126983
-0.946515 0.261153 0.0 0.0 0.0 -0.122326
-0.947335 0.253352 0.0 0.0 0.0 -0.117680
-0.948154 0.245552 0.0 0.0 0.0 -0.113050
-0.948974 0.237752 0.0 0.0 0.0 -0.108441
-0.949794 0.229952 0.0 0.0 0.0 -0.103857
-0.950614 0.222152 0.0 0.0 0.0 -0.099303
-0.951434 0.214352 0.0 0.0 0.0 -0.094785
-0.952253 0.206551 0.0 0.0 0.0 -0.090307
-0.953073 0.198751 0.0 0.0 0.0 -0.085874
-0.953893 0.190951 0.0 0.0 0.0 -0.081489
-0.954713 0.183151 0.0 0.0 0.0 -0.077158
-0.955533 0.175351 0.0 0.0 0.0 -0.072886
-0.956353 0.167551 0.0 0.0 0.0 -0.068675
-0.957172 0.159750 0.0 0.0 0.0 -0.064531
-0.957992 0.151950 0.0 0.0 0.0 -0.060457
-0.958812 0.144150 0.0 0.0 0.0 -0.056458
-0.959632 0.136350 0.0 0.0 0.0 -0.052537
-0.960452 0.128550 0.0 0.0 0.0 -0.048698
-0.961272 0.120750 0.0 0.0 0.0 -0.044944
-0.962091 0.112949 0.0 0.0 0.0 -0.041280
-0.962911 0.105149 0.0 0.0 0.0 -0.037708
-0.963731 0.097349 0.0 0.0 0.0 -0.034232
-0.964551 0.089549 0.0 0.0 0.0 -0.030855
-0.965371 0.081749 0.0 0.0 0.0 -0.027579
-0.966191 0.073949 0.0 0.0 0.0 -0.024408
-0.967010 0.066148 0.0 0.0 0.0 -0.021345
-0.967830 0.058348 0.0 0.0 0.0 -0.018391
-0.968650 0.050548 0.0 0.0 0.0 -0.015549
-0.969470 0.042748 0.0 0.0 0.0 -0.012822
-0.970290 0.034948 0.0 0.0 0.0 -0.010212
-0.971110 0.027148 0.0 0.0 0.0 -0.007721
-0.971929 0.019347 0.0 0.0 0.0 -0.005350
-0.972749 0.011547 0.0 0.0 0.0 -0.003101
-0.973569 0.003747 0.0 0.0 0.0 -0.000976
-0.974389 -0.004053 0.0 0.0 0.0 0.001023
