x y z Ax Ay Az
0.087369 -0.995751 0.0 0.0 0.0 -0.003618
0.095041 -0.994121 0.0 0.0 0.0 -0.005433
0.102712 -0.992490 0.0 0.0 0.0 -0.007481
0.110384 -0.990859 0.0 0.0 0.0 -0.009759
0.118056 -0.989229 0.0 0.0 0.0 -0.012262
0.125728 -0.987598 0.0 0.0 0.0 -0.014989
0.133399 -0.985967 0.0 0.0 0.0 -0.017934
0.141071 -0.984337 0.0 0.0 0.0 -0.021093
0.148743 -0.982706 0.0 0.0 0.0 -0.024462
0.156415 -0.981075 0.0 0.0 0.0 -0.028037
0.164086 -0.979445 0.0 0.0 0.0 -0.031812
0.171758 -0.977814 0.0 0.0 0.0 -0.035782
0.179430 -0.976183 0.0 0.0 0.0 -0.039941
0.187102 -0.974553 0.0 0.0 0.0 -0.044285
0.194773 -0.972922 0.0 0.0 0.0 -0.048806
0.202445 -0.971291 0.0 0.0 0.0 -0.053499
0.210117 -0.969661 0.0 0.0 0.0 -0.058358
0.217789 -0.968030 0.0 0.0 0.0 -0.063375
0.225460 -0.966399 0.0 0.0 0.0 -0.068544
0.233132 -0.964768 0.0 0.0 0.0 -0.073858
0.240804 -0.963138 0.0 0.0 0.0 -0.079310
0.248476 -0.961507 0.0 0.0 0.0 -0.084892
0.256147 -0.959876 0.0 0.0 0.0 -0.090596
0.263819 -0.958246 0.0 0.0 0.0 -0.096416
0.271491 -0.956615 0.0 0.0 0.0 -0.102342
0.279163 -0.954984 0.0 0.0 0.0 -0.108367
0.286834 -0.953354 0.0 0.0 0.0 -0.114482
0.294506 -0.951723 0.0 0.0 0.0 -0.120680
0.302178 -0.950092 0.0 0.0 0.0 -0.126951
0.309850 -0.948462 0.0 0.0 0.0 -0.133287
0.317521 -0.946831 0.0 0.0 0.0 -0.139680
0.325193 -0.945200 0.0 0.0 0.0 -0.146119
0.039708 -0.997864 0.0 0.0 0.0 -0.000835
0.047380 -0.996233 0.0 0.0 0.0 -0.001755
0.055051 -0.994602 0.0 0.0 0.0 -0.002918
0.062723 -0.992972 0.0 0.0 0.0 -0.004322
0.070395 -0.991341 0.0 0.0 0.0 -0.005966
0.078067 -0.989710 0.0 0.0 0.0 -0.007847
0.085738 -0.988080 0.0 0.0 0.0 -0.009963
0.093410 -0.986449 0.0 0.0 0.0 -0.012311
