x y z Ax Ay Az
0.818662 0.573539 0.0 0.0 0.0 0.525042
0.813413 0.579368 0.0 0.0 0.0 0.536075
0.808165 0.585197 0.0 0.0 0.0 0.546658
0.802917 0.591025 0.0 0.0 0.0 0.556778
0.797669 0.596854 0.0 0.0 0.0 0.566422
0.792421 0.602682 0.0 0.0 0.0 0.575576
0.787173 0.608511 0.0 0.0 0.0 0.584228
0.781925 0.614340 0.0 0.0 0.0 0.592368
0.776677 0.620168 0.0 0.0 0.0 0.599983
0.771429 0.625997 0.0 0.0 0.0 0.607064
0.766181 0.631825 0.0 0.0 0.0 0.613602
0.760933 0.637654 0.0 0.0 0.0 0.619586
0.755685 0.643482 0.0 0.0 0.0 0.625010
0.750436 0.649311 0.0 0.0 0.0 0.629865
0.745188 0.655140 0.0 0.0 0.0 0.634144
0.739940 0.660968 0.0 0.0 0.0 0.637841
0.734692 0.666797 0.0 0.0 0.0 0.640951
0.729444 0.672625 0.0 0.0 0.0 0.643469
0.724196 0.678454 0.0 0.0 0.0 0.645391
0.718948 0.684283 0.0 0.0 0.0 0.646712
0.713700 0.690111 0.0 0.0 0.0 0.647432
0.708452 0.695940 0.0 0.0 0.0 0.647547
0.703204 0.701768 0.0 0.0 0.0 0.647057
0.697956 0.707597 0.0 0.0 0.0 0.645961
0.692708 0.713426 0.0 0.0 0.0 0.644259
0.687459 0.719254 0.0 0.0 0.0 0.641953
0.682211 0.725083 0.0 0.0 0.0 0.639044
0.676963 0.730911 0.0 0.0 0.0 0.635535
0.671715 0.736740 0.0 0.0 0.0 0.631428
0.666467 0.742568 0.0 0.0 0.0 0.626728
0.661219 0.748397 0.0 0.0 0.0 0.621439
0.655971 0.754226 0.0 0.0 0.0 0.615567
0.844321 0.533320 0.0 0.0 0.0 0.467241
0.839073 0.539148 0.0 0.0 0.0 0.480644
0.833825 0.544977 0.0 0.0 0.0 0.493691
0.828577 0.550806 0.0 0.0 0.0 0.506365
0.823329 0.556634 0.0 0.0 0.0 0.518648
0.818081 0.562463 0.0 0.0 0.0 0.530526
0.812833 0.568291 0.0 0.0 0.0 0.541983
0.807585 0.574120 0.0 0.0 0.0 0.553004
0.802337 0.579949 0.0 0.0 0.0 0.563574
0.797089 0.585777 0.0 0.0 0.0 0.573681
0.791841 0.591606 0.0 0.0 0.0 0.583310
0.786593 0.597434 0.0 0.0 0.0 0.592449
0.781344 0.603263 0.0 0.0 0.0 0.601085
0.776096 0.609091 0.0 0.0 0.0 0.609208
0.770848 0.614920 0.0 0.0 0.0 0.616807
0.765600 0.620749 0.0 0.0 0.0 0.623870
0.760352 0.626577 0.0 0.0 0.0 0.630389
0.755104 0.632406 0.0 0.0 0.0 0.636355
0.749856 0.638234 0.0 0.0 0.0 0.641760
0.744608 0.644063 0.0 0.0 0.0 0.646595
0.739360 0.649892 0.0 0.0 0.0 0.650854
0.734112 0.655720 0.0 0.0 0.0 0.654531
0.728864 0.661549 0.0 0.0 0.0 0.657620
0.723616 0.667377 0.0 0.0 0.0 0.660117
0.718367 0.673206 0.0 0.0 0.0 0.662018
0.713119 0.679034 0.0 0.0 0.0 0.663318
0.707871 0.684863 0.0 0.0 0.0 0.664016
0.702623 0.690692 0.0 0.0 0.0 0.664110
0.697375 0.696520 0.0 0.0 0.0 0.663598
0.692127 0.702349 0.0 0.0 0.0 0.662480
0.686879 0.708177 0.0 0.0 0.0 0.660756
0.681631 0.714006 0.0 0.0 0.0 0.658428
0.676383 0.719835 0.0 0.0 0.0 0.655497
0.671135 0.725663 0.0 0.0 0.0 0.651966
0.665887 0.731492 0.0 0.0 0.0 0.647837
0.660639 0.737320 0.0 0.0 0.0 0.643116
0.655390 0.743149 0.0 0.0 0.0 0.637806
0.650142 0.748978 0.0 0.0 0.0 0.631913
0.644894 0.754806 0.0 0.0 0.0 0.625443
0.639646 0.760635 0.0 0.0 0.0 0.618403
0.634398 0.766463 0.0 0.0 0.0 0.610800
0.629150 0.772292 0.0 0.0 0.0 0.602643
0.623902 0.778120 0.0 0.0 0.0 0.593940
0.618654 0.783949 0.0 0.0 0.0 0.584701
0.864733 0.498929 0.0 0.0 0.0 0.412276
0.859485 0.504757 0.0 0.0 0.0 0.427194
0.854237 0.510586 0.0 0.0 0.0 0.441846
0.848989 0.516415 0.0 0.0 0.0 0.456211
0.843741 0.522243 0.0 0.0 0.0 0.470271
0.838493 0.528072 0.0 0.0 0.0 0.484009
0.833245 0.533900 0.0 0.0 0.0 0.497407
0.827997 0.539729 0.0 0.0 0.0 0.510447
0.822749 0.545557 0.0 0.0 0.0 0.523112
0.817501 0.551386 0.0 0.0 0.0 0.535387
