x y z Ax Ay Az
0.798449 -0.601360 0.0 0.0 0.0 -0.561974
0.802370 -0.594568 0.0 0.0 0.0 -0.556259
0.806292 -0.587775 0.0 0.0 0.0 -0.550082
0.810213 -0.580983 0.0 0.0 0.0 -0.543453
0.814135 -0.574191 0.0 0.0 0.0 -0.536385
0.818057 -0.567398 0.0 0.0 0.0 -0.528890
0.821978 -0.560606 0.0 0.0 0.0 -0.520981
0.825900 -0.553813 0.0 0.0 0.0 -0.512672
0.829821 -0.547021 0.0 0.0 0.0 -0.503975
0.833743 -0.540229 0.0 0.0 0.0 -0.494906
0.837664 -0.533436 0.0 0.0 0.0 -0.485480
0.841586 -0.526644 0.0 0.0 0.0 -0.475710
0.845508 -0.519852 0.0 0.0 0.0 -0.465613
0.849429 -0.513059 0.0 0.0 0.0 -0.455204
0.853351 -0.506267 0.0 0.0 0.0 -0.444500
0.857272 -0.499475 0.0 0.0 0.0 -0.433517
0.861194 -0.492682 0.0 0.0 0.0 -0.422271
0.865115 -0.485890 0.0 0.0 0.0 -0.410780
0.869037 -0.479098 0.0 0.0 0.0 -0.399061
0.872959 -0.472305 0.0 0.0 0.0 -0.387131
0.876880 -0.465513 0.0 0.0 0.0 -0.375008
0.880802 -0.458720 0.0 0.0 0.0 -0.362710
0.884723 -0.451928 0.0 0.0 0.0 -0.350255
0.888645 -0.445136 0.0 0.0 0.0 -0.337662
0.892566 -0.438343 0.0 0.0 0.0 -0.324948
0.896488 -0.431551 0.0 0.0 0.0 -0.312133
0.900410 -0.424759 0.0 0.0 0.0 -0.299234
0.904331 -0.417966 0.0 0.0 0.0 -0.286271
0.908253 -0.411174 0.0 0.0 0.0 -0.273262
0.912174 -0.404382 0.0 0.0 0.0 -0.260226
0.916096 -0.397589 0.0 0.0 0.0 -0.247182
0.920017 -0.390797 0.0 0.0 0.0 -0.234148
0.768127 -0.638193 0.0 0.0 0.0 -0.603956
0.772049 -0.631400 0.0 0.0 0.0 -0.601326
0.775970 -0.624608 0.0 0.0 0.0 -0.598173
0.779892 -0.617815 0.0 0.0 0.0 -0.594503
0.783813 -0.611023 0.0 0.0 0.0 -0.590325
0.787735 -0.604231 0.0 0.0 0.0 -0.585650
0.791656 -0.597438 0.0 0.0 0.0 -0.580486
0.795578 -0.590646 0.0 0.0 0.0 -0.574844
0.799500 -0.583854 0.0 0.0 0.0 -0.568735
0.803421 -0.577061 0.0 0.0 0.0 -0.562170
0.807343 -0.570269 0.0 0.0 0.0 -0.555161
0.811264 -0.563477 0.0 0.0 0.0 -0.547720
0.815186 -0.556684 0.0 0.0 0.0 -0.539860
0.819107 -0.549892 0.0 0.0 0.0 -0.531595
0.823029 -0.543100 0.0 0.0 0.0 -0.522938
0.826950 -0.536307 0.0 0.0 0.0 -0.513903
0.830872 -0.529515 0.0 0.0 0.0 -0.504505
0.834794 -0.522722 0.0 0.0 0.0 -0.494758
0.838715 -0.515930 0.0 0.0 0.0 -0.484679
0.842637 -0.509138 0.0 0.0 0.0 -0.474283
0.846558 -0.502345 0.0 0.0 0.0 -0.463585
0.850480 -0.495553 0.0 0.0 0.0 -0.452602
0.854401 -0.488761 0.0 0.0 0.0 -0.441352
0.858323 -0.481968 0.0 0.0 0.0 -0.429850
0.862245 -0.475176 0.0 0.0 0.0 -0.418114
0.866166 -0.468384 0.0 0.0 0.0 -0.406161
0.870088 -0.461591 0.0 0.0 0.0 -0.394009
0.874009 -0.454799 0.0 0.0 0.0 -0.381676
0.877931 -0.448007 0.0 0.0 0.0 -0.369180
0.881852 -0.441214 0.0 0.0 0.0 -0.356539
0.885774 -0.434422 0.0 0.0 0.0 -0.343772
0.889696 -0.427629 0.0 0.0 0.0 -0.330897
0.893617 -0.420837 0.0 0.0 0.0 -0.317932
0.897539 -0.414045 0.0 0.0 0.0 -0.304897
0.901460 -0.407252 0.0 0.0 0.0 -0.291810
0.905382 -0.400460 0.0 0.0 0.0 -0.278689
0.909303 -0.393668 0.0 0.0 0.0 -0.265553
0.913225 -0.386875 0.0 0.0 0.0 -0.252422
0.917147 -0.380083 0.0 0.0 0.0 -0.239314
0.921068 -0.373291 0.0 0.0 0.0 -0.226248
0.924990 -0.366498 0.0 0.0 0.0 -0.213241
0.928911 -0.359706 0.0 0.0 0.0 -0.200314
0.932833 -0.352914 0.0 0.0 0.0 -0.187483
0.936754 -0.346121 0.0 0.0 0.0 -0.174768
0.741727 -0.668233 0.0 0.0 0.0 -0.626288
0.745648 -0.661440 0.0 0.0 0.0 -0.626487
0.749570 -0.654648 0.0 0.0 0.0 -0.626126
0.753491 -0.647856 0.0 0.0 0.0 -0.625213
0.757413 -0.641063 0.0 0.0 0.0 -0.623751
0.761335 -0.634271 0.0 0.0 0.0 -0.621748
0.765256 -0.627479 0.0 0.0 0.0 -0.619210
0.769178 -0.620686 0.0 0.0 0.0 -0.616144
0.773099 -0.613894 0.0 0.0 0.0 -0.612558
0.777021 -0.607102 0.0 0.0 0.0 -0.608462
0.780942 -0.600309 0.0 0.0 0.0 -0.603863
0.784864 -0.593517 0.0 0.0 0.0 -0.598772
0.788786 -0.586724 0.0 0.0 0.0 -0.593198
0.792707 -0.579932 0.0 0.0 0.0 -0.587153
0.796629 -0.573140 0.0 0.0 0.0 -0.580648
0.800550 -0.566347 0.0 0.0 0.0 -0.573694
0.804472 -0.559555 0.0 0.0 0.0 -0.566303
0.808393 -0.552763 0.0 0.0 0.0 -0.558489
0.812315 -0.545970 0.0 0.0 0.0 -0.550265
0.816237 -0.539178 0.0 0.0 0.0 -0.541643
0.820158 -0.532386 0.0 0.0 0.0 -0.532639
0.824080 -0.525593 0.0 0.0 0.0 -0.523266
0.828001 -0.518801 0.0 0.0 0.0 -0.513539
0.831923 -0.512009 0.0 0.0 0.0 -0.503474
0.835844 -0.505216 0.0 0.0 0.0 -0.493086
0.839766 -0.498424 0.0 0.0 0.0 -0.482392
0.843688 -0.491631 0.0 0.0 0.0 -0.471407
0.847609 -0.484839 0.0 0.0 0.0 -0.460148
0.851531 -0.478047 0.0 0.0 0.0 -0.448631
0.855452 -0.471254 0.0 0.0 0.0 -0.436875
0.859374 -0.464462 0.0 0.0 0.0 -0.424896
0.863295 -0.457670 0.0 0.0 0.0 -0.412713
0.867217 -0.450877 0.0 0.0 0.0 -0.400342
0.871139 -0.444085 0.0 0.0 0.0 -0.387802
0.875060 -0.437293 0.0 0.0 0.0 -0.375110
0.878982 -0.430500 0.0 0.0 0.0 -0.362287
0.882903 -0.423708 0.0 0.0 0.0 -0.349349
0.886825 -0.416916 0.0 0.0 0.0 -0.336315
0.890746 -0.410123 0.0 0.0 0.0 -0.323205
0.894668 -0.403331 0.0 0.0 0.0 -0.310036
0.898590 -0.396538 0.0 0.0 0.0 -0.296828
0.902511 -0.389746 0.0 0.0 0.0 -0.283598
0.906433 -0.382954 0.0 0.0 0.0 -0.270367
0.910354 -0.376161 0.0 0.0 0.0 -0.257153
0.914276 -0.369369 0.0 0.0 0.0 -0.243974
0.918197 -0.362577 0.0 0.0 0.0 -0.230849
0.922119 -0.355784 0.0 0.0 0.0 -0.217797
0.926040 -0.348992 0.0 0.0 0.0 -0.204836
0.929962 -0.342200 0.0 0.0 0.0 -0.191984
0.933884 -0.335407 0.0 0.0 0.0 -0.179260
0.937805 -0.328615 0.0 0.0 0.0 -0.166681
0.941727 -0.321823 0.0 0.0 0.0 -0.154266
0.945648 -0.315030 0.0 0.0 0.0 -0.142031
0.949570 -0.308238 0.0 0.0 0.0 -0.129995
0.715327 -0.698273 0.0 0.0 0.0 -0.633340
0.719248 -0.691481 0.0 0.0 0.0 -0.636495
0.723170 -0.684688 0.0 0.0 0.0 -0.639074
0.727091 -0.677896 0.0 0.0 0.0 -0.641080
0.731013 -0.671104 0.0 0.0 0.0 -0.642514
0.734934 -0.664311 0.0 0.0 0.0 -0.643379
0.738856 -0.657519 0.0 0.0 0.0 -0.643679
0.742778 -0.650726 0.0 0.0 0.0 -0.643418
0.746699 -0.643934 0.0 0.0 0.0 -0.642601
0.750621 -0.637142 0.0 0.0 0.0 -0.641233
0.754542 -0.630349 0.0 0.0 0.0 -0.639320
0.758464 -0.623557 0.0 0.0 0.0 -0.636869
0.762385 -0.616765 0.0 0.0 0.0 -0.633887
0.766307 -0.609972 0.0 0.0 0.0 -0.630382
0.770229 -0.603180 0.0 0.0 0.0 -0.626361
0.774150 -0.596388 0.0 0.0 0.0 -0.621835
0.778072 -0.589595 0.0 0.0 0.0 -0.616813
0.781993 -0.582803 0.0 0.0 0.0 -0.611304
0.785915 -0.576011 0.0 0.0 0.0 -0.605319
0.789836 -0.569218 0.0 0.0 0.0 -0.598869
0.793758 -0.562426 0.0 0.0 0.0 -0.591967
0.797680 -0.555633 0.0 0.0 0.0 -0.584623
0.801601 -0.548841 0.0 0.0 0.0 -0.576851
0.805523 -0.542049 0.0 0.0 0.0 -0.568663
0.809444 -0.535256 0.0 0.0 0.0 -0.560073
0.813366 -0.528464 0.0 0.0 0.0 -0.551096
0.817287 -0.521672 0.0 0.0 0.0 -0.541745
0.821209 -0.514879 0.0 0.0 0.0 -0.532034
0.825130 -0.508087 0.0 0.0 0.0 -0.521980
0.829052 -0.501295 0.0 0.0 0.0 -0.511598
0.832974 -0.494502 0.0 0.0 0.0 -0.500904
0.836895 -0.487710 0.0 0.0 0.0 -0.489913
0.840817 -0.480918 0.0 0.0 0.0 -0.478642
0.844738 -0.474125 0.0 0.0 0.0 -0.467109
0.848660 -0.467333 0.0 0.0 0.0 -0.455329
0.852581 -0.460540 0.0 0.0 0.0 -0.443321
0.856503 -0.453748 0.0 0.0 0.0 -0.431102
0.860425 -0.446956 0.0 0.0 0.0 -0.418690
0.864346 -0.440163 0.0 0.0 0.0 -0.406103
0.868268 -0.433371 0.0 0.0 0.0 -0.393359
0.872189 -0.426579 0.0 0.0 0.0 -0.380476
0.876111 -0.419786 0.0 0.0 0.0 -0.367472
0.880032 -0.412994 0.0 0.0 0.0 -0.354367
0.883954 -0.406202 0.0 0.0 0.0 -0.341178
0.887876 -0.399409 0.0 0.0 0.0 -0.327925
0.891797 -0.392617 0.0 0.0 0.0 -0.314627
0.895719 -0.385825 0.0 0.0 0.0 -0.301301
0.899640 -0.379032 0.0 0.0 0.0 -0.287967
0.903562 -0.372240 0.0 0.0 0.0 -0.274644
0.907483 -0.365447 0.0 0.0 0.0 -0.261350
0.911405 -0.358655 0.0 0.0 0.0 -0.248105
0.915327 -0.351863 0.0 0.0 0.0 -0.234925
0.919248 -0.345070 0.0 0.0 0.0 -0.221831
0.923170 -0.338278 0.0 0.0 0.0 -0.208840
0.927091 -0.331486 0.0 0.0 0.0 -0.195971
0.931013 -0.324693 0.0 0.0 0.0 -0.183241
0.934934 -0.317901 0.0 0.0 0.0 -0.170668
0.938856 -0.311109 0.0 0.0 0.0 -0.158271
0.942778 -0.304316 0.0 0.0 0.0 -0.146066
0.946699 -0.297524 0.0 0.0 0.0 -0.134071
0.950621 -0.290732 0.0 0.0 0.0 -0.122303
0.954542 -0.283939 0.0 0.0 0.0 -0.110777
0.958464 -0.277147 0.0 0.0 0.0 -0.099512
0.962385 -0.270355 0.0 0.0 0.0 -0.088521
0.696770 -0.714728 0.0 0.0 0.0 -0.636439
0.700691 -0.707936 0.0 0.0 0.0 -0.641436
0.704613 -0.701144 0.0 0.0 0.0 -0.645854
0.708534 -0.694351 0.0 0.0 0.0 -0.649695
0.712456 -0.687559 0.0 0.0 0.0 -0.652958
0.716377 -0.680767 0.0 0.0 0.0 -0.655643
0.720299 -0.673974 0.0 0.0 0.0 -0.657753
0.724220 -0.667182 0.0 0.0 0.0 -0.659289
0.728142 -0.660390 0.0 0.0 0.0 -0.660254
0.732064 -0.653597 0.0 0.0 0.0 -0.660651
0.735985 -0.646805 0.0 0.0 0.0 -0.660485
0.739907 -0.640013 0.0 0.0 0.0 -0.659760
0.743828 -0.633220 0.0 0.0 0.0 -0.658481
0.747750 -0.626428 0.0 0.0 0.0 -0.656654
0.751671 -0.619635 0.0 0.0 0.0 -0.654286
0.755593 -0.612843 0.0 0.0 0.0 -0.651383
0.759515 -0.606051 0.0 0.0 0.0 -0.647954
0.763436 -0.599258 0.0 0.0 0.0 -0.644006
0.767358 -0.592466 0.0 0.0 0.0 -0.639549
0.771279 -0.585674 0.0 0.0 0.0 -0.634591
0.775201 -0.578881 0.0 0.0 0.0 -0.629143
0.779122 -0.572089 0.0 0.0 0.0 -0.623214
0.783044 -0.565297 0.0 0.0 0.0 -0.616817
0.786966 -0.558504 0.0 0.0 0.0 -0.609962
0.790887 -0.551712 0.0 0.0 0.0 -0.602661
0.794809 -0.544920 0.0 0.0 0.0 -0.594927
0.798730 -0.538127 0.0 0.0 0.0 -0.586773
0.802652 -0.531335 0.0 0.0 0.0 -0.578212
0.806573 -0.524542 0.0 0.0 0.0 -0.569258
0.810495 -0.517750 0.0 0.0 0.0 -0.559925
0.814417 -0.510958 0.0 0.0 0.0 -0.550228
0.818338 -0.504165 0.0 0.0 0.0 -0.540181
0.822260 -0.497373 0.0 0.0 0.0 -0.529801
0.826181 -0.490581 0.0 0.0 0.0 -0.519103
0.830103 -0.483788 0.0 0.0 0.0 -0.508104
0.834024 -0.476996 0.0 0.0 0.0 -0.496818
0.837946 -0.470204 0.0 0.0 0.0 -0.485264
0.841868 -0.463411 0.0 0.0 0.0 -0.473459
0.845789 -0.456619 0.0 0.0 0.0 -0.461419
0.849711 -0.449827 0.0 0.0 0.0 -0.449162
0.853632 -0.443034 0.0 0.0 0.0 -0.436706
0.857554 -0.436242 0.0 0.0 0.0 -0.424069
0.861475 -0.429449 0.0 0.0 0.0 -0.411268
0.865397 -0.422657 0.0 0.0 0.0 -0.398323
0.869319 -0.415865 0.0 0.0 0.0 -0.385251
0.873240 -0.409072 0.0 0.0 0.0 -0.372071
0.877162 -0.402280 0.0 0.0 0.0 -0.358802
0.881083 -0.395488 0.0 0.0 0.0 -0.345462
0.885005 -0.388695 0.0 0.0 0.0 -0.332071
0.888926 -0.381903 0.0 0.0 0.0 -0.318646
0.892848 -0.375111 0.0 0.0 0.0 -0.305207
0.896770 -0.368318 0.0 0.0 0.0 -0.291773
0.900691 -0.361526 0.0 0.0 0.0 -0.278361
0.904613 -0.354734 0.0 0.0 0.0 -0.264992
