# x_norm y_norm Actual_u
6.055810e-01 7.910849e-01 5.778190e-01
5.984132e-01 7.942762e-01 5.745530e-01
5.912444e-01 7.974674e-01 5.708290e-01
5.840766e-01 8.006587e-01 5.666550e-01
5.769088e-01 8.038499e-01 5.620430e-01
5.697411e-01 8.070411e-01 5.570020e-01
5.625733e-01 8.102324e-01 5.515420e-01
5.554055e-01 8.134236e-01 5.456740e-01
5.482377e-01 8.166148e-01 5.394110e-01
5.410699e-01 8.198061e-01 5.327640e-01
5.339022e-01 8.229973e-01 5.257440e-01
5.267344e-01 8.261896e-01 5.183650e-01
5.195666e-01 8.293808e-01 5.106380e-01
5.123988e-01 8.325720e-01 5.025790e-01
5.052310e-01 8.357633e-01 4.941990e-01
4.980632e-01 8.389545e-01 4.855130e-01
4.908955e-01 8.421458e-01 4.765350e-01
4.837277e-01 8.453370e-01 4.672790e-01
4.765589e-01 8.485282e-01 4.577600e-01
4.693911e-01 8.517195e-01 4.479930e-01
4.622233e-01 8.549107e-01 4.379930e-01
4.550556e-01 8.581019e-01 4.277750e-01
4.478878e-01 8.612942e-01 4.173550e-01
4.407200e-01 8.644854e-01 4.067490e-01
4.335522e-01 8.676767e-01 3.959720e-01
4.263844e-01 8.708679e-01 3.850400e-01
4.192167e-01 8.740591e-01 3.739690e-01
4.120489e-01 8.772504e-01 3.627760e-01
4.048811e-01 8.804416e-01 3.514780e-01
3.977133e-01 8.836328e-01 3.400890e-01
3.905455e-01 8.868241e-01 3.286270e-01
3.833778e-01 8.900153e-01 3.171090e-01
3.762100e-01 8.932066e-01 3.055500e-01
3.690422e-01 8.963988e-01 2.939670e-01
3.618734e-01 8.995900e-01 2.823770e-01
3.547056e-01 9.027813e-01 2.707960e-01
3.475378e-01 9.059725e-01 2.592400e-01
3.403701e-01 9.091638e-01 2.477260e-01
3.332023e-01 9.123550e-01 2.362690e-01
3.260345e-01 9.155462e-01 2.248870e-01
3.188667e-01 9.187375e-01 2.135940e-01
3.116989e-01 9.219287e-01 2.024070e-01
3.045312e-01 9.251199e-01 1.913410e-01
2.973634e-01 9.283112e-01 1.804120e-01
2.901956e-01 9.315034e-01 1.696350e-01
2.830278e-01 9.346947e-01 1.590240e-01
2.758600e-01 9.378859e-01 1.485960e-01
2.686923e-01 9.410771e-01 1.383640e-01
2.615245e-01 9.442684e-01 1.283430e-01
2.543567e-01 9.474596e-01 1.185460e-01
2.471879e-01 9.506509e-01 1.089880e-01
2.400201e-01 9.538421e-01 9.968100e-02
2.328523e-01 9.570333e-01 9.064000e-02
2.256846e-01 9.602246e-01 8.187600e-02
2.185168e-01 9.634158e-01 7.340200e-02
2.113490e-01 9.666080e-01 6.523000e-02
2.041812e-01 9.697993e-01 5.737200e-02
1.970134e-01 9.729905e-01 4.983900e-02
1.898457e-01 9.761818e-01 4.264200e-02
1.826779e-01 9.793730e-01 3.579100e-02
1.755101e-01 9.825642e-01 2.929700e-02
1.683423e-01 9.857555e-01 2.316900e-02
6.382286e-01 7.679600e-01 6.051310e-01
6.310609e-01 7.711512e-01 6.044040e-01
6.238931e-01 7.743424e-01 6.031750e-01
6.167253e-01 7.775337e-01 6.014500e-01
6.095575e-01 7.807249e-01 5.992360e-01
6.023897e-01 7.839162e-01 5.965420e-01
5.952209e-01 7.871084e-01 5.933740e-01
5.880532e-01 7.902996e-01 5.897430e-01
5.808854e-01 7.934909e-01 5.856560e-01
5.737176e-01 7.966821e-01 5.811240e-01
5.665498e-01 7.998734e-01 5.761560e-01
5.593820e-01 8.030646e-01 5.707630e-01
5.522143e-01 8.062558e-01 5.649550e-01
5.450465e-01 8.094471e-01 5.587450e-01
5.378787e-01 8.126383e-01 5.521430e-01
5.307109e-01 8.158295e-01 5.451610e-01
5.235431e-01 8.190208e-01 5.378120e-01
5.163754e-01 8.222130e-01 5.301100e-01
5.092076e-01 8.254043e-01 5.220650e-01
5.020398e-01 8.285955e-01 5.136930e-01
4.948720e-01 8.317867e-01 5.050070e-01
4.877042e-01 8.349780e-01 4.960210e-01
4.805354e-01 8.381692e-01 4.867490e-01
4.733677e-01 8.413604e-01 4.772060e-01
4.661999e-01 8.445517e-01 4.674060e-01
4.590321e-01 8.477429e-01 4.573660e-01
4.518643e-01 8.509342e-01 4.470990e-01
4.446965e-01 8.541254e-01 4.366210e-01
4.375288e-01 8.573176e-01 4.259490e-01
4.303610e-01 8.605089e-01 4.150970e-01
4.231932e-01 8.637001e-01 4.040820e-01
4.160254e-01 8.668914e-01 3.929200e-01
4.088576e-01 8.700826e-01 3.816280e-01
4.016899e-01 8.732738e-01 3.702210e-01
3.945221e-01 8.764651e-01 3.587150e-01
3.873543e-01 8.796563e-01 3.471280e-01
3.801865e-01 8.828475e-01 3.354750e-01
3.730187e-01 8.860388e-01 3.237740e-01
3.658499e-01 8.892300e-01 3.120400e-01
3.586822e-01 8.924223e-01 3.002900e-01
3.515144e-01 8.956135e-01 2.885410e-01
3.443466e-01 8.988047e-01 2.768090e-01
3.371788e-01 9.019960e-01 2.651110e-01
3.300110e-01 9.051872e-01 2.534620e-01
3.228433e-01 9.083785e-01 2.418790e-01
3.156755e-01 9.115697e-01 2.303770e-01
3.085077e-01 9.147609e-01 2.189730e-01
3.013399e-01 9.179522e-01 2.076820e-01
2.941721e-01 9.211434e-01 1.965210e-01
2.870044e-01 9.243346e-01 1.855030e-01
2.798366e-01 9.275269e-01 1.746450e-01
2.726688e-01 9.307181e-01 1.639620e-01
2.655010e-01 9.339094e-01 1.534670e-01
2.583332e-01 9.371006e-01 1.431760e-01
2.511645e-01 9.402918e-01 1.331020e-01
2.439967e-01 9.434831e-01 1.232600e-01
2.368289e-01 9.466743e-01 1.136630e-01
2.296611e-01 9.498655e-01 1.043240e-01
2.224933e-01 9.530568e-01 9.525700e-02
2.153255e-01 9.562480e-01 8.647300e-02
2.081578e-01 9.594393e-01 7.798500e-02
2.009900e-01 9.626315e-01 6.980500e-02
1.938222e-01 9.658227e-01 6.194500e-02
1.866544e-01 9.690140e-01 5.441400e-02
1.794866e-01 9.722052e-01 4.722500e-02
1.723189e-01 9.753965e-01 4.038700e-02
1.651511e-01 9.785877e-01 3.391000e-02
1.579833e-01 9.817789e-01 2.780300e-02
1.508155e-01 9.849702e-01 2.207500e-02
1.436477e-01 9.881614e-01 1.673500e-02
6.637085e-01 7.480272e-01 6.202770e-01
6.565407e-01 7.512185e-01 6.217570e-01
6.493730e-01 7.544097e-01 6.227090e-01
6.422052e-01 7.576009e-01 6.231360e-01
6.350374e-01 7.607922e-01 6.230450e-01
6.278696e-01 7.639834e-01 6.224400e-01
6.207018e-01 7.671747e-01 6.213280e-01
6.135341e-01 7.703659e-01 6.197150e-01
6.063653e-01 7.735571e-01 6.176070e-01
5.991975e-01 7.767484e-01 6.150130e-01
5.920297e-01 7.799396e-01 6.119390e-01
5.848619e-01 7.831319e-01 6.083960e-01
5.776941e-01 7.863231e-01 6.043910e-01
5.705264e-01 7.895143e-01 5.999350e-01
5.633586e-01 7.927056e-01 5.950360e-01
5.561908e-01 7.958968e-01 5.897050e-01
5.490230e-01 7.990880e-01 5.839530e-01
5.418552e-01 8.022793e-01 5.777910e-01
5.346875e-01 8.054705e-01 5.712310e-01
5.275197e-01 8.086618e-01 5.642830e-01
5.203519e-01 8.118530e-01 5.569620e-01
5.131841e-01 8.150442e-01 5.492780e-01
5.060163e-01 8.182365e-01 5.412460e-01
4.988486e-01 8.214277e-01 5.328780e-01
4.916808e-01 8.246190e-01 5.241880e-01
4.845120e-01 8.278102e-01 5.151910e-01
4.773442e-01 8.310014e-01 5.058990e-01
4.701764e-01 8.341927e-01 4.963280e-01
4.630086e-01 8.373839e-01 4.864930e-01
4.558409e-01 8.405751e-01 4.764090e-01
